2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:34:42 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:34:42 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:06 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:06 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:06 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:06 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:35:06 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:06 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:35:13 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:35:14 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:35:14 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:37:03 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:37:03 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:37:03 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:40:36 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:40:36 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:40:36 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:40:36 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:40:36 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:45:42 Notice: Notice (8): Undefined property: ClientsController::$Search in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 7]
2010-10-08 11:09:55 Notice: Notice (8): Undefined property: ClientsController::$Search in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 7]
2010-10-08 11:28:02 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:28:02 Notice: Notice (8): Undefined index:  Name in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 16]
2010-10-08 11:29:13 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:29:13 Notice: Notice (8): Undefined index:  Clients in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 16]
2010-10-08 11:29:20 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:29:20 Notice: Notice (8): Undefined index:  Name in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 16]
2010-10-08 11:30:27 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:30:27 Notice: Notice (8): Undefined index:  Name in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/views/clients/index.ctp, line 16]
2010-10-08 11:30:40 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:30:47 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 11:31:38 Notice: Notice (8): Undefined variable: conditions in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/clients_controller.php, line 12]
2010-10-08 17:21:59 Notice: Notice (8): Array to string conversion in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/app_controller.php, line 41]
